instrument,Date,time,CLOSE,HIGH,LOW,OPEN,VOLUME
NIFTY,20160518,14:59,7851.15,7852.50,7850.75,7852.50,10125,0
NIFTY,20160518,15:00,7852.45,7853.10,7851.85,7852.85,19125,0
NIFTY,20160518,15:01,7852.50,7859.80,7852.35,7859.75,129150,0
NIFTY,20160518,15:02,7860.10,7863.30,7859.60,7863.30,108600,0
NIFTY,20160518,15:03,7863.35,7866.60,7863.10,7866.60,66450,0
NIFTY,20160518,15:04,7866.70,7868.75,7866.30,7866.95,122100,0
NIFTY,20160518,15:05,7867.50,7868.00,7866.85,7867.45,30300,0
NIFTY,20160518,15:06,7867.50,7869.55,7867.50,7869.00,88050,0
NIFTY,20160518,15:07,7869.10,7870.20,7867.85,7868.60,61200,0
NIFTY,20160518,15:08,7868.25,7868.50,7866.20,7866.65,28350,0
NIFTY,20160518,15:09,7866.60,7867.45,7865.90,7867.20,14550,0
NIFTY,20160518,15:10,7867.45,7868.35,7866.65,7868.10,13725,0
NIFTY,20160518,15:11,7867.85,7868.15,7867.25,7867.80,21300,0
NIFTY,20160518,15:12,7867.65,7868.10,7867.15,7867.50,23325,0
NIFTY,20160518,15:13,7867.85,7868.20,7867.40,7867.75,23025,0
NIFTY,20160518,15:14,7867.55,7867.80,7867.00,7867.55,25500,0
NIFTY,20160518,15:15,7867.90,7868.45,7867.65,7867.70,19950,0
NIFTY,20160518,15:16,7867.40,7868.50,7866.80,7867.30,67950,0
NIFTY,20160518,15:17,7867.60,7868.95,7867.10,7867.80,26550,0
NIFTY,20160518,15:18,7868.05,7868.70,7867.60,7868.30,22350,0
NIFTY,20160518,15:19,7868.00,7868.45,7866.65,7867.50,55575,0
NIFTY,20160518,15:20,7867.95,7868.95,7867.55,7868.90,33600,0
NIFTY,20160518,15:21,7868.95,7870.30,7868.80,7869.55,47850,0
NIFTY,20160518,15:22,7869.30,7874.95,7869.30,7872.45,74250,0
NIFTY,20160518,15:23,7872.30,7873.80,7872.30,7873.35,105600,0
NIFTY,20160518,15:24,7873.25,7875.25,7873.00,7875.15,40950,0
NIFTY,20160518,15:25,7875.25,7879.70,7874.75,7878.05,65850,0
NIFTY,20160518,15:26,7877.95,7881.35,7877.95,7880.40,121500,0
NIFTY,20160518,15:27,7880.50,7882.05,7880.40,7880.85,107775,0
NIFTY,20160518,15:28,7880.50,7881.05,7877.75,7878.20,91650,0
NIFTY,20160518,15:29,7877.50,7877.55,7873.65,7874.80,65475,0
NIFTY,20160518,15:30,7874.50,7875.95,7872.20,7872.85,79875,0
NIFTY,20160519,09:16,7876.20,7876.20,7845.15,7852.15,198825,0
NIFTY,20160519,09:17,7852.50,7852.50,7847.60,7850.55,121200,0
NIFTY,20160519,09:18,7850.50,7854.50,7850.30,7850.50,79500,0
NIFTY,20160519,09:19,7850.10,7851.40,7847.15,7847.40,87450,0
NIFTY,20160519,09:20,7847.90,7847.90,7840.25,7841.50,110700,0
NIFTY,20160519,09:21,7841.30,7844.65,7840.35,7844.15,110250,0
NIFTY,20160519,09:22,7844.40,7844.60,7829.55,7833.75,406050,0
NIFTY,20160519,09:23,7833.15,7835.50,7831.70,7835.50,193950,0
NIFTY,20160519,09:24,7835.55,7843.25,7835.55,7840.10,112350,0
NIFTY,20160519,09:25,7840.00,7841.95,7837.80,7839.20,63075,0
NIFTY,20160519,09:26,7839.15,7840.75,7837.50,7837.50,77025,0
NIFTY,20160519,09:27,7837.25,7841.75,7837.20,7841.60,72000,0
NIFTY,20160519,09:28,7841.55,7841.55,7838.40,7838.40,55200,0
NIFTY,20160519,09:29,7838.45,7840.45,7837.25,7839.20,34125,0
NIFTY,20160519,09:30,7839.40,7841.75,7838.05,7838.25,38400,0
NIFTY,20160519,09:31,7838.70,7838.70,7834.60,7836.05,37275,0
NIFTY,20160519,09:32,7836.15,7836.50,7835.40,7835.70,19200,0
NIFTY,20160519,09:33,7835.15,7835.95,7834.35,7834.65,29700,0
NIFTY,20160519,09:34,7834.75,7834.85,7830.40,7831.50,36075,0
NIFTY,20160519,09:35,7831.45,7831.70,7827.50,7828.35,66375,0
NIFTY,20160519,09:36,7828.50,7830.10,7828.25,7829.90,34800,0
NIFTY,20160519,09:37,7829.95,7836.65,7829.85,7833.70,37500,0
NIFTY,20160519,09:38,7833.40,7835.50,7833.40,7834.95,41775,0
NIFTY,20160519,09:39,7835.10,7835.45,7834.10,7835.10,24750,0
NIFTY,20160519,09:40,7835.20,7835.35,7832.20,7834.45,29700,0
NIFTY,20160519,09:41,7834.75,7835.90,7831.90,7835.20,33450,0
NIFTY,20160519,09:42,7835.05,7837.90,7834.50,7836.25,26100,0
NIFTY,20160519,09:43,7835.95,7837.75,7835.95,7836.85,36450,0
NIFTY,20160519,09:44,7836.60,7837.20,7833.30,7834.95,42000,0
NIFTY,20160519,09:45,7835.20,7836.75,7835.00,7836.55,17925,0
NIFTY,20160519,09:46,7836.30,7841.35,7836.20,7841.30,27600,0
NIFTY,20160519,09:47,7841.55,7842.65,7841.40,7841.75,24975,0
NIFTY,20160519,09:48,7841.55,7842.40,7840.75,7841.10,28425,0
NIFTY,20160519,09:49,7840.95,7843.00,7840.85,7842.50,25200,0
NIFTY,20160519,09:50,7842.60,7842.75,7840.80,7841.95,14175,0
NIFTY,20160519,09:51,7841.85,7842.70,7841.10,7842.60,15000,0
NIFTY,20160519,09:52,7842.55,7842.60,7840.95,7841.30,18675,0
NIFTY,20160519,09:53,7841.35,7843.65,7840.55,7843.65,25575,0
NIFTY,20160519,09:54,7843.70,7843.80,7840.75,7840.85,18150,0
NIFTY,20160519,09:55,7840.95,7841.90,7840.50,7840.95,9450,0
NIFTY,20160519,09:56,7840.90,7840.95,7837.20,7838.70,22275,0
NIFTY,20160519,09:57,7838.95,7840.65,7838.75,7840.15,12900,0
NIFTY,20160519,09:58,7839.80,7840.50,7835.95,7838.60,24150,0
NIFTY,20160519,09:59,7838.45,7838.80,7835.80,7836.80,36375,0
NIFTY,20160519,10:00,7836.45,7837.65,7834.65,7834.70,26550,0
NIFTY,20160519,10:01,7835.15,7837.70,7834.35,7837.20,57000,0
NIFTY,20160519,10:02,7836.85,7838.20,7836.25,7836.35,9825,0
NIFTY,20160519,10:03,7836.55,7837.70,7835.60,7835.80,14850,0
NIFTY,20160519,10:04,7835.75,7835.90,7834.70,7834.95,19050,0
NIFTY,20160519,10:05,7835.10,7836.00,7834.55,7835.55,13125,0
NIFTY,20160519,10:06,7835.65,7836.50,7834.30,7836.10,8625,0
NIFTY,20160519,10:07,7836.05,7836.70,7835.10,7835.10,9525,0
NIFTY,20160519,10:08,7834.90,7835.55,7834.15,7834.60,4800,0
NIFTY,20160519,10:09,7834.50,7835.85,7834.30,7835.55,6675,0
NIFTY,20160519,10:10,7835.10,7835.85,7832.10,7834.10,9300,0
NIFTY,20160519,10:11,7834.00,7835.60,7833.95,7835.60,5325,0
NIFTY,20160519,10:12,7835.70,7837.85,7835.25,7837.85,10200,0
NIFTY,20160519,10:13,7837.80,7838.10,7836.15,7836.95,14025,0
NIFTY,20160519,10:14,7836.90,7837.05,7835.00,7836.00,14625,0
NIFTY,20160519,10:15,7836.40,7836.60,7835.25,7835.70,8475,0
NIFTY,20160519,10:16,7834.85,7834.85,7832.20,7832.35,13650,0
NIFTY,20160519,10:17,7832.25,7832.50,7830.75,7832.50,23850,0
NIFTY,20160519,10:18,7832.55,7838.20,7832.20,7835.90,17700,0
NIFTY,20160519,10:19,7836.00,7838.45,7835.55,7838.45,15150,0
NIFTY,20160519,10:20,7838.55,7838.55,7835.65,7836.70,10425,0
NIFTY,20160519,10:21,7836.85,7837.70,7834.90,7834.90,9150,0
NIFTY,20160519,10:22,7834.80,7835.25,7833.30,7834.70,14325,0
NIFTY,20160519,10:23,7834.90,7834.95,7832.15,7832.75,8325,0
NIFTY,20160519,10:24,7832.90,7833.15,7831.30,7831.80,20250,0
NIFTY,20160519,10:25,7831.95,7832.60,7830.45,7831.20,7875,0
NIFTY,20160519,10:26,7831.60,7831.60,7829.30,7830.05,13500,0
NIFTY,20160519,10:27,7829.50,7829.55,7826.20,7829.10,31950,0
NIFTY,20160519,10:28,7829.25,7832.45,7828.55,7832.15,19575,0
NIFTY,20160519,10:29,7832.10,7833.00,7831.25,7832.50,9975,0
NIFTY,20160519,10:30,7832.35,7832.40,7830.95,7831.55,12750,0
NIFTY,20160519,10:31,7831.50,7833.45,7831.10,7833.45,9525,0
NIFTY,20160519,10:32,7832.90,7837.60,7832.90,7837.60,8925,0
NIFTY,20160519,10:33,7837.65,7840.00,7837.10,7839.75,29850,0
NIFTY,20160519,10:34,7839.60,7842.55,7839.30,7841.85,30225,0
NIFTY,20160519,10:35,7841.75,7841.95,7837.45,7838.40,26475,0
NIFTY,20160519,10:36,7838.65,7838.65,7837.40,7838.10,9900,0
NIFTY,20160519,10:37,7838.30,7839.05,7837.60,7838.50,11250,0
NIFTY,20160519,10:38,7838.90,7839.05,7837.95,7839.05,5700,0
NIFTY,20160519,10:39,7839.20,7839.50,7837.45,7837.45,13800,0
NIFTY,20160519,10:40,7837.20,7838.80,7837.00,7838.80,8850,0
NIFTY,20160519,10:41,7839.05,7840.15,7839.00,7839.70,6900,0
NIFTY,20160519,10:42,7839.60,7840.95,7839.60,7840.40,5025,0
NIFTY,20160519,10:43,7840.70,7841.55,7840.55,7841.35,11925,0
NIFTY,20160519,10:44,7841.45,7846.05,7841.45,7845.85,76425,0
NIFTY,20160519,10:45,7845.65,7846.35,7842.45,7842.45,35625,0
NIFTY,20160519,10:46,7842.65,7844.50,7842.45,7844.50,19050,0
NIFTY,20160519,10:47,7844.60,7845.60,7844.45,7845.00,11100,0
NIFTY,20160519,10:48,7844.80,7845.00,7843.25,7843.60,12825,0
NIFTY,20160519,10:49,7843.75,7844.95,7843.60,7844.90,19800,0
NIFTY,20160519,10:50,7844.85,7847.70,7844.05,7847.05,49200,0
NIFTY,20160519,10:51,7847.00,7849.20,7847.00,7848.85,44775,0
NIFTY,20160519,10:52,7848.70,7854.30,7848.25,7852.45,279900,0
NIFTY,20160519,10:53,7852.30,7853.55,7851.90,7852.20,59550,0
NIFTY,20160519,10:54,7852.10,7852.10,7850.10,7850.60,29100,0
NIFTY,20160519,10:55,7850.55,7855.10,7850.55,7854.30,56925,0
NIFTY,20160519,10:56,7854.45,7856.80,7854.45,7854.50,87075,0
NIFTY,20160519,10:57,7854.75,7855.15,7853.30,7853.40,33600,0
NIFTY,20160519,10:58,7853.30,7853.55,7850.65,7850.90,41100,0
NIFTY,20160519,10:59,7851.15,7852.40,7850.35,7851.65,19275,0
NIFTY,20160519,11:00,7851.70,7852.15,7850.80,7851.55,15150,0
NIFTY,20160519,11:01,7851.65,7852.50,7851.10,7851.55,21300,0
NIFTY,20160519,11:02,7851.40,7851.70,7847.55,7847.55,44025,0
NIFTY,20160519,11:03,7848.15,7848.15,7844.95,7845.95,22200,0
NIFTY,20160519,11:04,7845.80,7846.45,7842.00,7842.00,24450,0
NIFTY,20160519,11:05,7841.75,7842.70,7839.25,7839.25,26175,0
NIFTY,20160519,11:06,7839.05,7839.05,7837.15,7837.65,82875,0
NIFTY,20160519,11:07,7837.60,7840.40,7837.60,7838.40,26775,0
NIFTY,20160519,11:08,7838.85,7839.70,7838.05,7838.05,23775,0
NIFTY,20160519,11:09,7838.00,7838.60,7837.55,7837.55,25425,0
NIFTY,20160519,11:10,7837.60,7839.95,7837.15,7838.45,26925,0
NIFTY,20160519,11:11,7838.25,7840.10,7837.75,7840.05,13050,0
NIFTY,20160519,11:12,7839.85,7840.60,7838.65,7839.25,25500,0
NIFTY,20160519,11:13,7839.50,7840.35,7839.05,7839.80,12750,0
NIFTY,20160519,11:14,7840.30,7841.85,7839.65,7841.55,27450,0
NIFTY,20160519,11:15,7841.35,7843.10,7841.35,7843.10,42450,0
NIFTY,20160519,11:16,7843.00,7845.30,7843.00,7845.30,27825,0
NIFTY,20160519,11:17,7845.40,7846.00,7844.00,7844.40,12075,0
NIFTY,20160519,11:18,7844.20,7845.95,7844.20,7845.75,12075,0
