Script, DateTime, Open, High, Low, Close, Volume, WAP, Count 
KSCL, 20150430, 885.0, 885.05, 813.25, 837.1, 61323, 842.41, 3498 
KSCL, 20150504, 845.15, 870.0, 840.6, 866.0, 26154, 855.195, 967 
KSCL, 20150505, 865.0, 865.0, 840.0, 843.7, 22383, 852.8225, 1037 
KSCL, 20150506, 860.2, 887.0, 826.0, 837.65, 45106, 851.2875, 2270 
KSCL, 20150507, 832.0, 837.0, 815.0, 821.15, 20339, 827.275, 1550 
KSCL, 20150508, 833.0, 838.1, 820.0, 826.6, 12924, 830.205, 744 
KSCL, 20150511, 827.5, 847.0, 822.35, 833.7, 15676, 834.87, 1115 
KSCL, 20150512, 833.75, 837.0, 815.4, 818.85, 11907, 824.2875, 960 
KSCL, 20150513, 821.5, 869.0, 821.0, 850.1, 22107, 841.7525, 1373 
KSCL, 20150514, 848.1, 875.0, 842.25, 857.7, 16944, 858.815, 961 
KSCL, 20150515, 856.05, 871.0, 855.5, 861.8, 14296, 862.165, 839 
KSCL, 20150518, 869.8, 869.8, 850.6, 863.1, 13037, 861.5075, 922 
KSCL, 20150519, 857.3, 878.0, 852.0, 858.25, 16794, 865.995, 1105 
KSCL, 20150520, 856.0, 869.95, 855.05, 864.45, 12569, 863.08, 652 
KSCL, 20150521, 862.2, 866.8, 841.25, 854.05, 11185, 851.2375, 710 
KSCL, 20150522, 857.65, 868.0, 855.0, 858.9, 10164, 861.86, 553 
KSCL, 20150525, 864.0, 868.8, 845.15, 853.95, 8967, 857.8125, 713 
KSCL, 20150526, 860.95, 860.95, 808.8, 830.6, 29713, 836.69, 1542 
KSCL, 20150527, 829.45, 882.0, 810.0, 850.4, 33623, 854.6725, 1906 
KSCL, 20150528, 863.85, 893.1, 853.05, 889.2, 48721, 878.8725, 1655 
KSCL, 20150529, 904.0, 934.7, 902.0, 923.95, 89508, 925.16, 3114 
KSCL, 20150601, 915.0, 986.7, 903.2, 935.15, 67268, 934.8, 2448 
KSCL, 20150602, 930.5, 938.9, 885.0, 896.35, 41954, 909.85, 2606 
KSCL, 20150603, 885.15, 885.15, 816.4, 849.15, 42606, 849.11, 2045 
KSCL, 20150604, 854.1, 874.8, 829.95, 855.55, 31623, 859.6775, 1884 
KSCL, 20150605, 860.0, 888.4, 855.75, 876.3, 28378, 877.1925, 1467 
KSCL, 20150608, 879.55, 879.55, 853.2, 864.65, 32566, 869.185, 1548 
KSCL, 20150609, 850.1, 895.9, 840.25, 881.65, 35979, 874.69, 1977 
KSCL, 20150610, 887.0, 887.05, 831.25, 835.8, 60498, 854.0775, 2657 
KSCL, 20150611, 843.9, 854.0, 793.7, 805.0, 47626, 833.2075, 1909 
KSCL, 20150612, 808.95, 810.8, 762.0, 782.45, 44298, 783.3325, 1998 
KSCL, 20150615, 813.65, 822.4, 799.2, 814.6, 95334, 811.4175, 4590 
KSCL, 20150616, 809.0, 828.0, 797.55, 817.05, 60762, 818.0875, 2626 
KSCL, 20150617, 820.0, 820.0, 792.55, 801.9, 45256, 808.31, 2268 
KSCL, 20150618, 804.0, 805.4, 785.1, 799.35, 78184, 798.2975, 3657 
KSCL, 20150619, 807.9, 807.9, 799.1, 800.95, 52641, 802.4825, 2466 
KSCL, 20150622, 805.0, 811.75, 793.0, 795.95, 67347, 799.25, 1879 
KSCL, 20150623, 803.0, 812.5, 790.6, 796.45, 105058, 799.805, 3073 
KSCL, 20150624, 802.0, 802.95, 781.7, 785.0, 35552, 790.72, 1812 
KSCL, 20150625, 787.0, 792.0, 772.9, 780.05, 105095, 785.0675, 2124 
KSCL, 20150626, 785.05, 788.95, 748.9, 763.65, 158502, 760.54, 4159 
KSCL, 20150629, 754.9, 784.95, 730.0, 752.35, 104388, 758.295, 3935 
KSCL, 20150630, 750.0, 760.95, 732.0, 736.1, 98721, 739.615, 5829 
KSCL, 20150701, 737.05, 747.5, 719.95, 732.85, 258039, 728.2975, 7004 
KSCL, 20150702, 731.0, 758.0, 725.0, 736.5, 273286, 741.1675, 7112 
KSCL, 20150703, 737.9, 741.0, 725.55, 727.95, 92248, 733.0775, 3382 
KSCL, 20150706, 726.0, 743.9, 714.25, 739.3, 135209, 724.43, 4899 
KSCL, 20150707, 745.0, 761.5, 741.1, 743.45, 105346, 749.1275, 3588 
KSCL, 20150708, 743.0, 753.0, 725.1, 746.85, 100450, 741.1575, 4278 
KSCL, 20150709, 750.0, 758.9, 723.8, 728.6, 150924, 745.35, 8190 
KSCL, 20150710, 734.95, 739.75, 728.55, 731.85, 67305, 732.1225, 3809 
